label@Value

# ========== CLASSES ==========

archer,"Arqueiro"
habitMediumlDifficultyFlavor,"<b>Em marcas positivas:</b><br>+6 experiência e +6 moedas<br><b>Ao completar:</b><br>+350 experiência, +350 moedas e 2 cristais"
habitHardDifficultyFlavor,"<b>Em marcas positivas:</b><br>+8 experiência e +8 moedas<br><b>Ao completar:</b><br>+600 experiência, +600 moedas e 3 cristais"

backToHabitsLabel,"Hábitos"

titleLabel,"Título"
difficultyLabel,"Dificuldade"
notesLabel,"Notas"
checkLabel,"Verificação"
countLabel,"Contagem"
somethingWrongInput,"Algo de errado com esse campo"
dailyLabel,"Diária"
monthlyLabel,"Mensal"
yearlyLabel,"Anual"
weeklyLabel,"Semanal"
trivialLabel,"Trivial"
easyLabel,"Fácil"
mediumLabel,"Moderado"
moderateLabel,"Moderado"
hardLabel,"Difícil"
repeatsLabel,"Repetição"
startDateLabel,"Data de início"
repeatEveryLabel,"Repetir a cada"
repeatOnLabel,"Repetir em"
selectADateLabel,"Selecione uma data"
importantNotesAboutThisDailyTaskLabel,"Notas importantes sobre essa tarefa"
newDailyTaskLabel,"Nova tarefa"
newHabitTaskLabel,"Novo Hábito"
importantNotesAboutThisHabitLabel,"Notas importantes sobre esse hábito"

sunLabel,"Dom"
monLabel,"Seg"
tueLabel,"Ter"
wedLabel,"Qua"
thuLabel,"Qui"
friLabel,"Sex"
satLabel,"Sáb"

# ========== QUEST PANEL ==========

cost,"Cost"
chance,"Success Chance"
failure,"Failure"
success,"Success"
test,"Test"

# ========== NEW DAYLY PANEL ==========

dailyTrivialDifficultyFlavor,"+5 experiência e +5 moedas ao completar"
dailyEasyDifficultyFlavor,"+10 experiência e +10 moedas ao completar"
dailyMediumlDifficultyFlavor,"+15 experiência e +15 moedas ao completar"
dailyHardDifficultyFlavor,"+20 experiência e +20 moedas ao completar"

backToDailiesLabel,"Tarefas diárias"

activeToday,"Ativo hoje"
activeOn,"Ativo em"
archived,"Arquivado"
notToday,"Essa tarefa está inativa hoje."

# ========== COMMON ITEM ==========

coinName,"Moedas"
coinDescription,""
coinFlavor,""

# ========== COMMON ==========

# ========== UNCOMMON ==========

# ========== RARE ==========

# ========== EPIC ==========

# ========== LEGENDARY ==========

# ========== WARRIOR ITEM ==========

# ========== COMMON ==========

recruitWeaponName,"Espada de Recruta"
recruitWeaponDescription,"+4 Ataque"
recruitWeaponFlavor,"Aço simples, peso honesto."

recruitShieldName,"Escudo de Recruta"
recruitShieldDescription,"+3 Defesa"
recruitShieldFlavor,"Mais segurado do que confiável."

recruitArmorName,"Armadura de Recruta"
recruitArmorDescription,"+6 Vida +2 Defesa"
recruitArmorFlavor,"Distribuída, não conquistada."

recruitHelmetName,"Elmo de Recruta"
recruitHelmetDescription,"+1 Defesa"
recruitHelmetFlavor,"Ainda parece novo."

footmanWeaponName,"Espada do Soldado"
footmanWeaponDescription,"+5 Ataque"
footmanWeaponFlavor,"Confiável em formação."

footmanShieldName,"Escudo do Soldado"
footmanShieldDescription,"+4 Defesa"
footmanShieldFlavor,"Mantém a linha."

footmanArmorName,"Armadura do Soldado"
footmanArmorDescription,"+7 Vida +2 Defesa"
footmanArmorFlavor,"Marcada pela marcha."

footmanHelmetName,"Elmo do Soldado"
footmanHelmetDescription,"+1 Defesa"
footmanHelmetFlavor,"Viu muitas estradas."

squireWeaponName,"Espada do Escudeiro"
squireWeaponDescription,"+6 Ataque +1 Crítico"
squireWeaponFlavor,"Empunhada com entusiasmo."

squireShieldName,"Escudo do Escudeiro"
squireShieldDescription,"+4 Defesa"
squireShieldFlavor,"Ainda aprendendo a bloquear."

squireArmorName,"Armadura do Escudeiro"
squireArmorDescription,"+8 Vida +3 Defesa"
squireArmorFlavor,"Ajustada vezes demais."

squireHelmetName,"Elmo do Escudeiro"
squireHelmetDescription,"+1 Defesa"
squireHelmetFlavor,"Agora encaixa melhor."

vanguardWeaponName,"Espada da Vanguarda"
vanguardWeaponDescription,"+7 Ataque"
vanguardWeaponFlavor,"Primeira a golpear."

vanguardShieldName,"Escudo da Vanguarda"
vanguardShieldDescription,"+5 Defesa"
vanguardShieldFlavor,"Nunca recua."

vanguardArmorName,"Armadura da Vanguarda"
vanguardArmorDescription,"+9 Vida +3 Defesa"
vanguardArmorFlavor,"Aço da linha de frente."

vanguardHelmetName,"Elmo da Vanguarda"
vanguardHelmetDescription,"+2 Defesa"
vanguardHelmetFlavor,"Marcado e orgulhoso."

defenderWeaponName,"Espada do Defensor"
defenderWeaponDescription,"+9 Ataque"
defenderWeaponFlavor,"Golpes calculados."

defenderShieldName,"Escudo do Defensor"
defenderShieldDescription,"+7 Defesa"
defenderShieldFlavor,"Inabalável."

defenderArmorName,"Armadura do Defensor"
defenderArmorDescription,"+12 Vida +4 Defesa"
defenderArmorFlavor,"Feita para resistir."

defenderHelmetName,"Elmo do Defensor"
defenderHelmetDescription,"+2 Defesa"
defenderHelmetFlavor,"Olhar pesado."

# ========== UNCOMMON ==========

ironGuardWeaponName,"Espada da Guarda de Ferro"
ironGuardWeaponDescription,"+10 Ataque"
ironGuardWeaponFlavor,"Golpes inflexíveis."

ironGuardShieldName,"Escudo da Guarda de Ferro"
ironGuardShieldDescription,"+8 Defesa"
ironGuardShieldFlavor,"Frio e sólido."

ironGuardArmorName,"Armadura da Guarda de Ferro"
ironGuardArmorDescription,"+14 Vida +4 Defesa"
ironGuardArmorFlavor,"Forjada espessa."

ironGuardHelmetName,"Elmo da Guarda de Ferro"
ironGuardHelmetDescription,"+2 Defesa"
ironGuardHelmetFlavor,"Vontade de ferro."

knightWeaponName,"Espada do Cavaleiro"
knightWeaponDescription,"+11 Ataque +1 Crítico"
knightWeaponFlavor,"Lâmina honrada."

knightShieldName,"Escudo do Cavaleiro"
knightShieldDescription,"+8 Defesa"
knightShieldFlavor,"Heraldria exibida."

knightArmorName,"Armadura do Cavaleiro"
knightArmorDescription,"+16 Vida +5 Defesa"
knightArmorFlavor,"Dever polido."

knightHelmetName,"Elmo do Cavaleiro"
knightHelmetDescription,"+3 Defesa"
knightHelmetFlavor,"Peso nobre."

sentinelWeaponName,"Espada do Sentinela"
sentinelWeaponDescription,"+12 Ataque"
sentinelWeaponFlavor,"Sempre vigilante."

sentinelShieldName,"Escudo do Sentinela"
sentinelShieldDescription,"+9 Defesa"
sentinelShieldFlavor,"Jamais abaixado."

sentinelArmorName,"Armadura do Sentinela"
sentinelArmorDescription,"+18 Vida +5 Defesa"
sentinelArmorFlavor,"Vigília eterna."

sentinelHelmetName,"Elmo do Sentinela"
sentinelHelmetDescription,"+3 Defesa"
sentinelHelmetFlavor,"Olhos à frente."

templarWeaponName,"Espada do Templário"
templarWeaponDescription,"+14 Ataque +1 Crítico"
templarWeaponFlavor,"Aço guiado pela fé."

templarShieldName,"Escudo do Templário"
templarShieldDescription,"+11 Defesa"
templarShieldFlavor,"Proteção sagrada."

templarArmorName,"Armadura do Templário"
templarArmorDescription,"+22 Vida +6 Defesa"
templarArmorFlavor,"Ligada por juramento."

templarHelmetName,"Elmo do Templário"
templarHelmetDescription,"+4 Defesa"
templarHelmetFlavor,"Visão jurada."

crusaderWeaponName,"Espada do Cruzado"
crusaderWeaponDescription,"+15 Ataque"
crusaderWeaponFlavor,"Marcha imparável."

crusaderShieldName,"Escudo do Cruzado"
crusaderShieldDescription,"+12 Defesa"
crusaderShieldFlavor,"Muralha da fé."

crusaderArmorName,"Armadura do Cruzado"
crusaderArmorDescription,"+24 Vida +6 Defesa"
crusaderArmorFlavor,"Proteção incansável."

crusaderHelmetName,"Elmo do Cruzado"
crusaderHelmetDescription,"+4 Defesa"
crusaderHelmetFlavor,"Marcado pela cruzada."

# ========== RARE ==========

warlordWeaponName,"Espada do Senhor da Guerra"
warlordWeaponDescription,"+16 Ataque +2 Crítico"
warlordWeaponFlavor,"Força de comando."

warlordShieldName,"Escudo do Senhor da Guerra"
warlordShieldDescription,"+13 Defesa"
warlordShieldFlavor,"Testado em batalhas."

warlordArmorName,"Armadura do Senhor da Guerra"
warlordArmorDescription,"+26 Vida +7 Defesa"
warlordArmorFlavor,"Marcada por cicatrizes."

warlordHelmetName,"Elmo do Senhor da Guerra"
warlordHelmetDescription,"+4 Defesa"
warlordHelmetFlavor,"Autoridade incontestável."

championWeaponName,"Espada do Campeão"
championWeaponDescription,"+17 Ataque"
championWeaponFlavor,"Favorita da multidão."

championShieldName,"Escudo do Campeão"
championShieldDescription,"+14 Defesa"
championShieldFlavor,"Marcado por vitórias."

championArmorName,"Armadura do Campeão"
championArmorDescription,"+28 Vida +7 Defesa"
championArmorFlavor,"Forjada na arena."

championHelmetName,"Elmo do Campeão"
championHelmetDescription,"+5 Defesa"
championHelmetFlavor,"Ecoa aplausos."

juggernautWeaponName,"Espada do Juggernaut"
juggernautWeaponDescription,"+20 Ataque +2 Crítico"
juggernautWeaponFlavor,"Nada a detém."

juggernautShieldName,"Escudo do Juggernaut"
juggernautShieldDescription,"+16 Defesa"
juggernautShieldFlavor,"Quebra formações."

juggernautArmorName,"Armadura do Juggernaut"
juggernautArmorDescription,"+32 Vida +8 Defesa"
juggernautArmorFlavor,"Peso esmagador."

juggernautHelmetName,"Elmo do Juggernaut"
juggernautHelmetDescription,"+5 Defesa"
juggernautHelmetFlavor,"Imóvel."

# ========== EPIC ==========

dreadnoughtWeaponName,"Espada do Dreadnought"
dreadnoughtWeaponDescription,"+21 Ataque"
dreadnoughtWeaponFlavor,"O medo em forma sólida."

dreadnoughtShieldName,"Escudo do Dreadnought"
dreadnoughtShieldDescription,"+17 Defesa"
dreadnoughtShieldFlavor,"Inquebrável."

dreadnoughtArmorName,"Armadura do Dreadnought"
dreadnoughtArmorDescription,"+34 Vida +8 Defesa"
dreadnoughtArmorFlavor,"Silêncio pesado."

dreadnoughtHelmetName,"Elmo do Dreadnought"
dreadnoughtHelmetDescription,"+6 Defesa"
dreadnoughtHelmetFlavor,"Determinação fria."

warmasterWeaponName,"Espada do Mestre da Guerra"
warmasterWeaponDescription,"+22 Ataque +3 Crítico"
warmasterWeaponFlavor,"Construtora de vitórias."

warmasterShieldName,"Escudo do Mestre da Guerra"
warmasterShieldDescription,"+18 Defesa"
warmasterShieldFlavor,"Muralha de comando."

warmasterArmorName,"Armadura do Mestre da Guerra"
warmasterArmorDescription,"+36 Vida +9 Defesa"
warmasterArmorFlavor,"Doutrina de batalha."

warmasterHelmetName,"Elmo do Mestre da Guerra"
warmasterHelmetDescription,"+6 Defesa"
warmasterHelmetFlavor,"Olhos da guerra."

colossusWeaponName,"Espada do Colosso"
colossusWeaponDescription,"+24 Ataque"
colossusWeaponFlavor,"Abala a terra."

colossusShieldName,"Escudo do Colosso"
colossusShieldDescription,"+19 Defesa"
colossusShieldFlavor,"Forjado por titãs."

colossusArmorName,"Armadura do Colosso"
colossusArmorDescription,"+38 Vida +9 Defesa"
colossusArmorFlavor,"Placas de montanha."

colossusHelmetName,"Elmo do Colosso"
colossusHelmetDescription,"+7 Defesa"
colossusHelmetFlavor,"Olhar imovível."

# ========== LEGENDARY ==========

mythicGuardianWeaponName,"Espada do Guardião Mítico"
mythicGuardianWeaponDescription,"+27 Ataque +3 Crítico"
mythicGuardianWeaponFlavor,"Poder lendário."

mythicGuardianShieldName,"Escudo do Guardião Mítico"
mythicGuardianShieldDescription,"+22 Defesa"
mythicGuardianShieldFlavor,"Ligado à lenda."

mythicGuardianArmorName,"Armadura do Guardião Mítico"
mythicGuardianArmorDescription,"+42 Vida +10 Defesa"
mythicGuardianArmorFlavor,"Mito lembrado."

mythicGuardianHelmetName,"Elmo do Guardião Mítico"
mythicGuardianHelmetDescription,"+8 Defesa"
mythicGuardianHelmetFlavor,"Vigília eterna."

worldbreakerWeaponName,"Espada do Quebra-Mundos"
worldbreakerWeaponDescription,"+29 Ataque"
worldbreakerWeaponFlavor,"Despedaça o destino."

worldbreakerShieldName,"Escudo do Quebra-Mundos"
worldbreakerShieldDescription,"+24 Defesa"
worldbreakerShieldFlavor,"Marcado pelo mundo."

worldbreakerArmorName,"Armadura do Quebra-Mundos"
worldbreakerArmorDescription,"+46 Vida +11 Defesa"
worldbreakerArmorFlavor,"Terra rachada."

worldbreakerHelmetName,"Elmo do Quebra-Mundos"
worldbreakerHelmetDescription,"+9 Defesa"
worldbreakerHelmetFlavor,"Guerra sem fim."

eternalWarlordWeaponName,"Espada do Senhor da Guerra Eterno"
eternalWarlordWeaponDescription,"+31 Ataque +4 Crítico"
eternalWarlordWeaponFlavor,"Nunca cede."

eternalWarlordShieldName,"Escudo do Senhor da Guerra Eterno"
eternalWarlordShieldDescription,"+26 Defesa"
eternalWarlordShieldFlavor,"Eras suportadas."

eternalWarlordArmorName,"Armadura do Senhor da Guerra Eterno"
eternalWarlordArmorDescription,"+50 Vida +12 Defesa"
eternalWarlordArmorFlavor,"Marcada pelo tempo."

eternalWarlordHelmetName,"Elmo do Senhor da Guerra Eterno"
eternalWarlordHelmetDescription,"+10 Defesa"
eternalWarlordHelmetFlavor,"Comando infinito."

ascendedWarlordWeaponName,"Espada do Senhor da Guerra Ascendido"
ascendedWarlordWeaponDescription,"+34 Ataque +5 Crítico"
ascendedWarlordWeaponFlavor,"Poder aperfeiçoado."

ascendedWarlordShieldName,"Escudo do Senhor da Guerra Ascendido"
ascendedWarlordShieldDescription,"+28 Defesa"
ascendedWarlordShieldFlavor,"Além da ruptura."

ascendedWarlordArmorName,"Armadura do Senhor da Guerra Ascendido"
ascendedWarlordArmorDescription,"+60 Vida +14 Defesa"
ascendedWarlordArmorFlavor,"Acima de todas as batalhas."

ascendedWarlordHelmetName,"Elmo do Senhor da Guerra Ascendido"
ascendedWarlordHelmetDescription,"+12 Defesa"
ascendedWarlordHelmetFlavor,"A guerra em pessoa."

# ========== ARCHER ITEM ==========

# ========== COMMON ==========

pathfinderBowName,"Arco do Desbravador"
pathfinderBowDescription,"+4 Ataque +2 Agilidade"
pathfinderBowFlavor,"A primeira flecha sempre conta."

pathfinderDaggerName,"Adaga do Desbravador"
pathfinderDaggerDescription,"+2 Ataque"
pathfinderDaggerFlavor,"Para momentos decisivos."

pathfinderArmorName,"Armadura do Desbravador"
pathfinderArmorDescription,"+6 Vida +2 Agilidade"
pathfinderArmorFlavor,"Leve e confiável."

pathfinderHatName,"Chapéu do Desbravador"
pathfinderHatDescription,"+1 Agilidade"
pathfinderHatFlavor,"Protege do sol."

scoutBowName,"Arco do Batedor"
scoutBowDescription,"+5 Ataque +2 Agilidade"
scoutBowFlavor,"Passos silenciosos, mira firme."

scoutDaggerName,"Adaga do Batedor"
scoutDaggerDescription,"+3 Ataque"
scoutDaggerFlavor,"Saque rápido."

scoutArmorName,"Armadura do Batedor"
scoutArmorDescription,"+7 Vida +2 Agilidade"
scoutArmorFlavor,"Quase não faz som."

scoutHatName,"Chapéu do Batedor"
scoutHatDescription,"+1 Agilidade"
scoutHatFlavor,"Se mistura ao ambiente."

trackerBowName,"Arco do Rastreador"
trackerBowDescription,"+6 Ataque +3 Agilidade"
trackerBowFlavor,"Nunca perde um rastro."

trackerDaggerName,"Adaga do Rastreador"
trackerDaggerDescription,"+3 Ataque +1 Crítico"
trackerDaggerFlavor,"Golpes precisos."

trackerArmorName,"Armadura do Rastreador"
trackerArmorDescription,"+8 Vida +3 Agilidade"
trackerArmorFlavor,"Moldada pela natureza."

trackerHatName,"Chapéu do Rastreador"
trackerHatDescription,"+1 Agilidade"
trackerHatFlavor,"Olhos sempre atentos."

rangerBowName,"Arco do Patrulheiro"
rangerBowDescription,"+7 Ataque +3 Agilidade"
rangerBowFlavor,"Confiável como a floresta."

rangerDaggerName,"Adaga do Patrulheiro"
rangerDaggerDescription,"+4 Ataque"
rangerDaggerFlavor,"Empunhadura equilibrada."

rangerArmorName,"Armadura do Patrulheiro"
rangerArmorDescription,"+9 Vida +3 Agilidade"
rangerArmorFlavor,"Bem testada."

rangerHatName,"Chapéu do Patrulheiro"
rangerHatDescription,"+2 Agilidade"
rangerHatFlavor,"Visão clara."

# ========== UNCOMMON ==========

skirmisherBowName,"Arco do Escaramuçador"
skirmisherBowDescription,"+9 Ataque +4 Agilidade"
skirmisherBowFlavor,"Ataca e desaparece."

skirmisherDaggerName,"Adaga do Escaramuçador"
skirmisherDaggerDescription,"+5 Ataque"
skirmisherDaggerFlavor,"Lâmina veloz."

skirmisherArmorName,"Armadura do Escaramuçador"
skirmisherArmorDescription,"+12 Vida +4 Agilidade"
skirmisherArmorFlavor,"Feita para movimento."

skirmisherHatName,"Chapéu do Escaramuçador"
skirmisherHatDescription,"+2 Agilidade"
skirmisherHatFlavor,"Nunca notado."

marksmanBowName,"Arco do Atirador de Elite"
marksmanBowDescription,"+10 Ataque +4 Agilidade"
marksmanBowFlavor,"Cada disparo é calculado."

marksmanDaggerName,"Adaga do Atirador de Elite"
marksmanDaggerDescription,"+5 Ataque +1 Crítico"
marksmanDaggerFlavor,"Afiada e rápida."

marksmanArmorName,"Armadura do Atirador de Elite"
marksmanArmorDescription,"+14 Vida +4 Agilidade"
marksmanArmorFlavor,"Passos precisos."

marksmanHatName,"Chapéu do Atirador de Elite"
marksmanHatDescription,"+2 Agilidade"
marksmanHatFlavor,"Alinhamento perfeito."

swiftwindBowName,"Arco do Vento Rápido"
swiftwindBowDescription,"+11 Ataque +5 Agilidade"
swiftwindBowFlavor,"Mais rápido que o pensamento."

swiftwindDaggerName,"Adaga do Vento Rápido"
swiftwindDaggerDescription,"+6 Ataque"
swiftwindDaggerFlavor,"Um borrão de aço."

swiftwindArmorName,"Armadura do Vento Rápido"
swiftwindArmorDescription,"+16 Vida +5 Agilidade"
swiftwindArmorFlavor,"Nunca para."

swiftwindHatName,"Chapéu do Vento Rápido"
swiftwindHatDescription,"+2 Agilidade"
swiftwindHatFlavor,"Vento às costas."

sharpshooterBowName,"Arco do Franco-Atirador"
sharpshooterBowDescription,"+12 Ataque +5 Agilidade"
sharpshooterBowFlavor,"Uma flecha, um alvo."

sharpshooterDaggerName,"Adaga do Franco-Atirador"
sharpshooterDaggerDescription,"+6 Ataque +1 Crítico"
sharpshooterDaggerFlavor,"Sempre pronta."

sharpshooterArmorName,"Armadura do Franco-Atirador"
sharpshooterArmorDescription,"+18 Vida +5 Agilidade"
sharpshooterArmorFlavor,"Calma sob pressão."

sharpshooterHatName,"Chapéu do Franco-Atirador"
sharpshooterHatDescription,"+3 Agilidade"
sharpshooterHatFlavor,"Foco inabalável."

# ========== RARE ==========

sniperBowName,"Arco do Sniper"
sniperBowDescription,"+14 Ataque +6 Agilidade +1 Crítico"
sniperBowFlavor,"Distância não importa."

sniperDaggerName,"Adaga do Sniper"
sniperDaggerDescription,"+7 Ataque"
sniperDaggerFlavor,"Último recurso."

sniperArmorName,"Armadura do Sniper"
sniperArmorDescription,"+22 Vida +6 Agilidade"
sniperArmorFlavor,"Paciência e precisão."

sniperHatName,"Chapéu do Sniper"
sniperHatDescription,"+3 Agilidade"
sniperHatFlavor,"Olhos fixos."

deadeyeBowName,"Arco do Olho Mortal"
deadeyeBowDescription,"+15 Ataque +6 Agilidade"
deadeyeBowFlavor,"Nunca erra."

deadeyeDaggerName,"Adaga do Olho Mortal"
deadeyeDaggerDescription,"+7 Ataque +1 Crítico"
deadeyeDaggerFlavor,"Aço frio."

deadeyeArmorName,"Armadura do Olho Mortal"
deadeyeArmorDescription,"+24 Vida +6 Agilidade"
deadeyeArmorFlavor,"Tempo perfeito."

deadeyeHatName,"Chapéu do Olho Mortal"
deadeyeHatDescription,"+4 Agilidade"
deadeyeHatFlavor,"Olhar afiado."

shadowhunterBowName,"Arco do Caçador das Sombras"
shadowhunterBowDescription,"+16 Ataque +7 Agilidade +1 Crítico"
shadowhunterBowFlavor,"Visto tarde demais."

shadowhunterDaggerName,"Adaga do Caçador das Sombras"
shadowhunterDaggerDescription,"+8 Ataque"
shadowhunterDaggerFlavor,"Lâmina silenciosa."

shadowhunterArmorName,"Armadura do Caçador das Sombras"
shadowhunterArmorDescription,"+26 Vida +7 Agilidade"
shadowhunterArmorFlavor,"Fundida às sombras."

shadowhunterHatName,"Chapéu do Caçador das Sombras"
shadowhunterHatDescription,"+4 Agilidade"
shadowhunterHatFlavor,"Passa despercebido."

nightstalkerBowName,"Arco do Espreitador Noturno"
nightstalkerBowDescription,"+17 Ataque +7 Agilidade"
nightstalkerBowFlavor,"A escuridão ajuda."

nightstalkerDaggerName,"Adaga do Espreitador Noturno"
nightstalkerDaggerDescription,"+8 Ataque +1 Crítico"
nightstalkerDaggerFlavor,"Final rápido."

nightstalkerArmorName,"Armadura do Espreitador Noturno"
nightstalkerArmorDescription,"+28 Vida +7 Agilidade"
nightstalkerArmorFlavor,"Move-se sem ser visto."

nightstalkerHatName,"Chapéu do Espreitador Noturno"
nightstalkerHatDescription,"+5 Agilidade"
nightstalkerHatFlavor,"Olhos na escuridão."

# ========== EPIC ==========

windstriderBowName,"Arco do Andarilho do Vento"
windstriderBowDescription,"+20 Ataque +8 Agilidade +2 Crítico"
windstriderBowFlavor,"Mais rápido que o medo."

windstriderDaggerName,"Adaga do Andarilho do Vento"
windstriderDaggerDescription,"+9 Ataque"
windstriderDaggerFlavor,"Nunca desacelera."

windstriderArmorName,"Armadura do Andarilho do Vento"
windstriderArmorDescription,"+32 Vida +8 Agilidade"
windstriderArmorFlavor,"Sempre em movimento."

windstriderHatName,"Chapéu do Andarilho do Vento"
windstriderHatDescription,"+5 Agilidade"
windstriderHatFlavor,"Guiado pelo vento."

falconBowName,"Arco do Falcão"
falconBowDescription,"+21 Ataque +8 Agilidade"
falconBowFlavor,"Olhos do alto."

falconDaggerName,"Adaga do Falcão"
falconDaggerDescription,"+9 Ataque +1 Crítico"
falconDaggerFlavor,"Mergulho rápido."

falconArmorName,"Armadura do Falcão"
falconArmorDescription,"+34 Vida +8 Agilidade"
falconArmorFlavor,"Leve como pena."

falconHatName,"Chapéu do Falcão"
falconHatDescription,"+6 Agilidade"
falconHatFlavor,"Olhar atento."

ghostBowName,"Arco Fantasma"
ghostBowDescription,"+22 Ataque +9 Agilidade +2 Crítico"
ghostBowFlavor,"Agora você vê."

ghostDaggerName,"Adaga Fantasma"
ghostDaggerDescription,"+10 Ataque"
ghostDaggerFlavor,"Já se foi."

ghostArmorName,"Armadura Fantasma"
ghostArmorDescription,"+36 Vida +9 Agilidade"
ghostArmorFlavor,"Quase invisível."

ghostHatName,"Chapéu Fantasma"
ghostHatDescription,"+6 Agilidade"
ghostHatFlavor,"Impossível de rastrear."

stormeyeBowName,"Arco do Olho da Tempestade"
stormeyeBowDescription,"+24 Ataque +9 Agilidade"
stormeyeBowFlavor,"Nunca erra no caos."

stormeyeDaggerName,"Adaga do Olho da Tempestade"
